"id","session_id","current_trial","created_at","has_given_consent","mechanical_turk_code","ip_address","screen_width","screen_height","browser_width","browser_height","pixel_depth","platform","language","browser","user_agent","bandwidth","age","time_online","preferred_browser","is_mt_session"
347,"6f9cb77e630128768df9fff4fec8413b08356d8ef1f678f4e9c8e57ba7bfe979",31,"2015-02-25 10:38:14",t,"48ed946246","162.17.208.26",1920,1080,1855,1080,24,"MacIntel","en-us","Apple Safari","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.3.18 (KHTML, like Gecko) Version/7.1.3 Safari/537.85.12",3720543,"25-34","3-5 hours","Safari",f
358,"fdc5c709f01ccd8f520c51586d7153dff47a13cad55d00909b82e7a1ff52217a",1,"2015-02-25 10:54:51",f,"","",,,,,,"","","","",,"","","",f
359,"5296c2cdf5e18acf72b0f301c63d696664a9fc69e90df49f99f38413876436ca",1,"2015-02-25 10:54:56",f,"","",,,,,,"","","","",,"","","",f
360,"470f111ad93500061a5a78e7885c263b26ffcc33f8a936dabd669de173621392",1,"2015-02-25 10:54:56",f,"","",,,,,,"","","","",,"","","",f
361,"98a4c84e040d36ece886738d1b165656b6ccece990ed37ce49711829fa919b15",1,"2015-02-25 10:55:33",f,"","",,,,,,"","","","",,"","","",f
362,"401e1c1bd82ed204c71b99f448de209380eaff571d0ad0fa751d29541adf8317",1,"2015-02-25 10:55:35",f,"","",,,,,,"","","","",,"","","",f
363,"a6b635b9449c110bf8f590efeaae6cf013096e72a99a7814049c08003fa001fd",1,"2015-02-25 10:55:43",f,"","",,,,,,"","","","",,"","","",f
364,"3c0d58b87d31a7e712edbc2da22cc319877e95bed0626dfb3915203585859bad",1,"2015-02-25 11:06:10",f,"","",,,,,,"","","","",,"","","",f
365,"c47e90446ad8f7b825d76bbf2c44d2d130c9a53962d8b387871ac4be61b8174f",1,"2015-02-25 11:10:44",f,"","",,,,,,"","","","",,"","","",f
366,"6abc4dc695b8e01a5da3ad3c6222db42394c35d4ebad21984b0d59980716d0d9",1,"2015-02-25 11:15:05",f,"","",,,,,,"","","","",,"","","",f
367,"d6fc9fb4b6aaa1b2b1de3fd0fc3858febb07d1e59a0365029cde7ed55435d4a5",1,"2015-02-25 11:27:40",f,"","",,,,,,"","","","",,"","","",f
368,"5c6e5beb354a845254784bb2062f9177a4749d4c26435ae1779b1ecc4006d9bc",1,"2015-02-25 11:44:46",f,"","",,,,,,"","","","",,"","","",f
369,"1050d266459b0a6b98a7e2a2a3911ee883bd283e35f119eba36bc77bd59ab1ba",1,"2015-02-25 11:45:42",f,"","",,,,,,"","","","",,"","","",f
370,"5d212ef22ed10ddc1630a5befc7a2055bccbf67d0502e67ab3fa247d72c13738",1,"2015-02-25 11:49:15",f,"","",,,,,,"","","","",,"","","",f
371,"8da0bafc715142b272e03d509c65a9b5a7800cbadd8e20ebeec854268b107a58",1,"2015-02-25 11:49:19",f,"","",,,,,,"","","","",,"","","",f
390,"b8d36a293c8cb17f99c552877734a81ced0baf26be85c259c2d2ccd6232ee094",1,"2015-02-25 15:45:49",f,"","",,,,,,"","","","",,"","","",f
391,"d06781d85707c238124c6de30d224db59f9c8f9c76979f8459127beb00ac5af3",1,"2015-02-25 15:53:28",f,"","",,,,,,"","","","",,"","","",f
372,"6bbebeddcbd80509e191e8116d6d5b1f6517851373a4a76553485378495b8ce7",31,"2015-02-25 11:57:23",t,"e040febcbd","162.17.208.26",1080,1920,1080,875,24,"MacIntel","en-us","Google Chrome","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",4269060,"25-34","6-8 hours","Chrome",f
373,"e2c3bb03ab01844969562db16a736420bac633c2f174eb902c70590559f52b53",1,"2015-02-25 13:02:23",f,"","",,,,,,"","","","",,"","","",f
374,"0f7d938fb79c0533089ff7d2f1ddb4ab50836a52ba7603b94acbe6aa6379eaed",1,"2015-02-25 13:09:41",f,"","",,,,,,"","","","",,"","","",f
375,"2f909cd53d97baaa17091e2651fd5d2cd95d6948bf5bcc5e1dcd41f3c4e0b3fc",1,"2015-02-25 13:09:41",f,"","",,,,,,"","","","",,"","","",f
376,"2450a4464949ed56377491763c7f9fee64f4dea3e004eb6e78e88d07a0e2e231",1,"2015-02-25 13:16:24",f,"","",,,,,,"","","","",,"","","",f
377,"eca8241f04aa286a6fbba83e4fc5629a5e2673f8eaf839311617ca12551f7c84",1,"2015-02-25 13:18:57",f,"","",,,,,,"","","","",,"","","",f
378,"55875a05e7a8765019c3fd66ed40d6e43ed47d723571025e4d68ac5a8042e5b5",1,"2015-02-25 13:18:57",f,"","",,,,,,"","","","",,"","","",f
379,"c8689bc01c09a2f8972000d357b27c8e0e388e4ea7beba3de965da81cbaaab51",1,"2015-02-25 13:44:34",f,"","",,,,,,"","","","",,"","","",f
380,"87bcac41567c42c0f7ca210428490075f57b39f3362690a6b7530559817de39c",1,"2015-02-25 13:44:34",f,"","",,,,,,"","","","",,"","","",f
381,"e47836d9c920fbe38187718e3ed0ece382a367328c9af9f5068b9cb1852885ec",1,"2015-02-25 13:44:46",f,"","",,,,,,"","","","",,"","","",f
382,"c527359b312c3e8d4c034360c7614a7c8cb81b792151bf6f4d35b2dc832f3a1f",1,"2015-02-25 13:45:34",f,"","",,,,,,"","","","",,"","","",f
383,"c5b74ee8f4035494b1d88a8bee19bb0485aa36aac183575f1bedd792e22dcbb6",1,"2015-02-25 13:48:41",f,"","",,,,,,"","","","",,"","","",f
384,"5f2ac20f64107527d36235c7c1e02085cc190a97a0b29f5ee66e790ec3668768",1,"2015-02-25 13:48:41",f,"","",,,,,,"","","","",,"","","",f
385,"7c642b2e8581336c44cbaeb20abddd1eaad9b077d81d17f6424bc736f60440c0",1,"2015-02-25 14:00:07",f,"","",,,,,,"","","","",,"","","",f
392,"b634c9f32c9835032913f206e21222a80daee908a45193e05fba07df1a64182f",1,"2015-02-25 15:53:28",f,"","",,,,,,"","","","",,"","","",f
386,"0da208334ed04d596d39eb687d3eb26415bda9a08027ac155fb0eb1c84454db3",1,"2015-02-25 14:43:58",f,"","",,,,,,"","","","",,"","","",f
393,"362d48c1f78d903d5cd2d1d4679553282ac1076695b40a31c4616077c91e9ed0",1,"2015-02-25 16:01:24",f,"","",,,,,,"","","","",,"","","",f
394,"9b3a60398d90fc57e3b5d7107da834d64c40e246cb91b56ef13dc643ba280447",1,"2015-02-25 17:06:35",f,"","",,,,,,"","","","",,"","","",f
395,"93c73c0c49349b6a13c8d708eeee486ad01d770ce2f32d62b0cecf1d57366588",1,"2015-02-25 18:12:29",f,"","",,,,,,"","","","",,"","","",f
396,"f383ac0327a3f638fd7e01d713a94493525203a8c8aef9f90b505edb1f51022f",1,"2015-02-25 19:32:35",f,"","107.15.54.107",1600,900,1600,860,24,"Win32","en-us","Google Chrome","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",139327,"","","",f
397,"73723a0fca3e82ad5b5c0d5faaef10934e7d13caa3708f92fa1b0e7b4004a728",1,"2015-02-25 19:36:32",f,"","107.15.54.107",1600,900,1616,876,24,"Win32","en-US","Mozilla Firefox","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0",138719,"","","",f
398,"00bd06258579c94681f5fe2b802cedd27c0cdfbf80df81ec9f9f71270c02f43c",31,"2015-02-25 20:08:38",t,"050eb76bae","71.246.213.237",1920,1080,0,0,24,"Win32","en-us","Google Chrome","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",1549139,"25-34","6-8 hours","Chrome",f
399,"32c615eb6ce9fd0f287c15266e76a3e9568ee78f869906ce7b3624676f74d8da",1,"2015-02-25 22:46:20",f,"","",,,,,,"","","","",,"","","",f
400,"d99e4af5cdea018ab49be3e5c63c39608218c8520029c8cb3017a9e7a93121b3",1,"2015-02-26 04:02:21",f,"","",,,,,,"","","","",,"","","",f
401,"56b2bb503808cf58217f81eb290d5abd1151bd7e766c5d3a68bc9dad6e0c9fae",1,"2015-02-26 04:02:21",f,"","",,,,,,"","","","",,"","","",f
402,"55e81454980adbbdef5d3f46621db509121da1e4f478846b5dc0300dc9e89b36",1,"2015-02-26 06:34:43",f,"","",,,,,,"","","","",,"","","",f
403,"f297e9b141f192c50551b89bc41ca2224c19d712dbf38acdd09f478719038f80",1,"2015-02-26 10:25:30",f,"","50.134.64.249",1920,1080,1920,1032,24,"Win32","en-us","Google Chrome","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36",503636,"","","",f
404,"851fb8dfc3f8d28ad20b919fd04f20cfe46143396989e61f9e49e0733e6de7f0",1,"2015-02-26 13:11:46",f,"","",,,,,,"","","","",,"","","",f
387,"7f13f68b4380d29c5ba8c1ad9c9b74d59106405270ebb87d38454aa88ec2cc1a",31,"2015-02-25 14:47:31",t,"5a725b81bf","",,,,,,"","","","",,"18-25","3-5 hours","Chrome",f
388,"9bb475adfb1d04e293ec84cf1333d8910d14f8b4875a6a70a1ad1201811422b7",1,"2015-02-25 15:03:50",f,"","",,,,,,"","","","",,"","","",f
389,"b39360146fb42b13c024b4eb56e21939ecc98e1be43985d0f579c99f2e122510",1,"2015-02-25 15:08:38",f,"","",,,,,,"","","","",,"","","",f
405,"29c2eae1b7370d3c716eea2072e97596313eee00f722364787adfa407f89f4a5",1,"2015-02-26 14:30:54",f,"","",,,,,,"","","","",,"","","",f
406,"7a4ab5584ae2f0fd90b70fc85254d8f23254585a3931916cef5c0a97b4fad5c4",1,"2015-02-26 15:01:20",f,"","",,,,,,"","","","",,"","","",f
407,"03403670646f709bd8ba0689255b73b9975cd73773944256906c2df64e202eb7",1,"2015-02-26 17:32:35",f,"","",,,,,,"","","","",,"","","",f
408,"fec8b750d5a55ecf50a80f386923447f3ccc45f2fdd716c333d06b1e940437b7",1,"2015-02-26 17:32:35",f,"","",,,,,,"","","","",,"","","",f
409,"5b783eccf878ba64a7fc32775ae5e32559cb0f3c36fc1bc3c304e72446054eba",1,"2015-02-26 22:26:04",f,"","",,,,,,"","","","",,"","","",f
411,"33030f172a03bd5ef3982b6ad4e932c1f6b4ec3acd36210345ac4fcf9393e801",1,"2015-02-27 02:14:40",f,"","",,,,,,"","","","",,"","","",f
412,"685280e3c07aca4b497b4e9afa90287e5c429c72f3d3a2e6a10254d74dac3108",1,"2015-02-27 04:06:40",f,"","",,,,,,"","","","",,"","","",f
413,"a7b0d7f4def51a5bfce6fa6625b4d0a7ef93fc3cc758f84f70ec09f32986c915",1,"2015-02-27 06:20:55",f,"","",,,,,,"","","","",,"","","",f
414,"65996c3e24c6dc18f9ca4ef3e692e8f851cecfcc3c14baa36798357277b1fb86",1,"2015-02-27 06:20:55",f,"","",,,,,,"","","","",,"","","",f
415,"f9de948cf1dfbbd5ac21541d344291f0dac88a2846dad516ee053f00ba09401b",1,"2015-02-27 08:09:07",f,"","",,,,,,"","","","",,"","","",f
416,"47c28e270944cee82f9249d10626850bb2dd0ff1cc4e2bee374573e95e5165a4",1,"2015-02-27 10:07:30",f,"","",,,,,,"","","","",,"","","",f
417,"dedd1ca7be16fd10d3bae0e910872f411ae279ad29550118c109532a4da4bac5",1,"2015-02-27 11:11:37",f,"","",,,,,,"","","","",,"","","",f
418,"980916c008e29a98055d2621462043ecb3603565a4ecf2d7462be2f8294e0f5b",1,"2015-02-27 11:59:45",f,"","",,,,,,"","","","",,"","","",f
419,"6cb40f2699393c7fb64b6c0be9a2642c933251ca0bf799b94dbf4110eedfffaa",1,"2015-02-27 11:59:45",f,"","",,,,,,"","","","",,"","","",f
420,"d9d0e02b29715af62dba48e79619c1497de515845db9d6f8db2bdad5b6656977",1,"2015-02-27 12:53:58",f,"","",,,,,,"","","","",,"","","",f
421,"82f09f36b378496f293c44546eb91c351d968d3a1b9375d6c8328c85d5e4d5d7",1,"2015-02-27 12:53:58",f,"","",,,,,,"","","","",,"","","",f
422,"dc4d7cdcdfd4825b8f9c6ee06eb65c6bc4119ddf60b2b36f9ce20275f45631a8",1,"2015-02-27 12:57:08",f,"","",,,,,,"","","","",,"","","",f
423,"1f6fffc34eec12ed5d03f5ac4abc50a7ec44614fe6b09f00e86be5c1ac125e0c",1,"2015-02-27 12:57:13",f,"","",,,,,,"","","","",,"","","",f
424,"02415fb375750505a8648aebb037bcd576de9975356da7b296a528448e0fef25",1,"2015-02-27 13:55:10",f,"","",,,,,,"","","","",,"","","",f
425,"7a0825d65952e24d45aad12409c26fdfa4f2b5be8013c30da2b49b2079461a99",1,"2015-02-27 13:55:11",f,"","",,,,,,"","","","",,"","","",f
426,"75f7580caedee0e5e77f7530ec5184d432fe9783c2c2aba1204dee2ccb4d4eab",1,"2015-02-27 13:55:11",f,"","",,,,,,"","","","",,"","","",f
427,"d61fc6db8fb70ffe798d6deb9d63ad86e01dfa3768269e5415d4448543cedf48",1,"2015-02-27 13:55:11",f,"","",,,,,,"","","","",,"","","",f
428,"b59601eea696f784149fa1a58367e9f04c09706b41e6fd93e4007fd4ff398962",1,"2015-02-27 13:55:12",f,"","",,,,,,"","","","",,"","","",f
429,"07d7e555c8ef6392fe8ca36bd180fb8e7d9a9b1b4abf2210a63c9a570e9fcfab",1,"2015-02-27 13:55:12",f,"","",,,,,,"","","","",,"","","",f
430,"594e09b84b68dfe24bba84c8721aee7f41547f36aeeb5b373c546eb01ec34144",1,"2015-02-27 13:55:12",f,"","",,,,,,"","","","",,"","","",f
431,"9678514f0921130f74001e8e8ae51d17c2883d130dcea12da60224367113feef",1,"2015-02-27 13:55:12",f,"","",,,,,,"","","","",,"","","",f
432,"8d02971f8cf732307546557fa8c0133fa00e479ace93b9d4474f3764b495e8be",1,"2015-02-27 13:55:12",f,"","",,,,,,"","","","",,"","","",f
